ra_rad,dec_rad,magnitude,bv
2.8054288325,-1.1238951714,2.740,-0.220
3.3233717735,-0.0252963627,2.740,0.368
1.4636027423,-0.1031472363,2.750,-0.210
3.4932668046,-0.6407504212,2.750,0.068
3.8871911695,-0.2799818461,2.750,0.147
4.6402743827,0.0797144715,2.760,1.168
1.3432479535,-0.0887752323,2.780,0.161
4.3206501315,0.3750645053,2.780,0.947
4.5145019814,0.2511586876,2.780,1.164
3.2076777620,-1.0253622208,2.790,-0.193
4.5833777117,0.9128314068,2.790,0.954
4.0803216941,-0.7184954506,2.800,-0.216
1.4322406986,-0.3623205948,2.810,0.807
4.3689377938,0.5515716134,2.810,0.650
0.1120281101,-1.3483409638,2.820,0.618
4.3453574616,-0.4924623845,2.820,-0.206
4.8344342751,-0.4436923676,2.820,1.025
0.0577524134,0.2650037404,2.830,-0.190
2.1273129937,-0.4241904755,2.830,0.458
4.1676061267,-1.1070750249,2.830,0.315
1.0215936441,0.5564744158,2.840,0.271
4.5609811069,-0.9691793082,2.840,1.479
4.5895253105,-0.8705029436,2.840,-0.136
0.9925887749,0.4207140092,2.850,-0.086
3.4128895430,0.1912732567,2.850,0.934
5.7030406808,-0.2814742384,2.850,0.180
1.9836087168,0.5565945680,2.850,0.650
0.5182191583,-1.0745967597,2.860,0.290
5.1704264424,0.7876812219,2.860,-0.002
1.6709799892,0.3929361990,2.870,1.621
4.0095048888,-1.1986841875,2.870,0.014
5.8403179287,-1.0517282074,2.870,1.390
0.7778121182,-0.7034492364,2.880,0.128
5.0167913454,-0.3669312994,2.880,0.377
1.9510630591,0.1446758469,2.890,-0.097
3.3860627176,0.6687818903,2.890,-0.115
4.1837806439,-0.4557771176,2.890,-0.180
1.0378330199,0.6983099793,2.900,-0.199
4.2812429555,-0.4466785609,2.900,0.299
5.6354888118,-0.0972352982,2.900,0.828
0.8063268792,0.9338635493,2.910,0.716
2.5617165220,-1.1357207682,2.920,0.273
5.9472193251,0.5274602314,2.930,0.852
1.7886829951,-0.8833907164,2.940,1.207
3.2719004348,-0.2882486743,2.940,-0.012
5.7848236743,-0.0055824472,2.950,0.969
1.0385992839,-0.2357680692,2.970,1.588
1.4732531914,0.3690070937,2.970,-0.148
2.5562583438,0.4149390200,2.970,0.808
4.7377320340,-0.5310005637,2.980,0.981
3.4859528940,-0.4044191821,2.990,0.920
4.6582169637,-0.7003482245,2.990,0.509
4.9977945454,0.2419633388,2.990,0.014
0.5652399794,0.6106435271,3.000,0.140
2.9219591840,0.7766451055,3.000,1.144
4.0174380411,1.2537400930,3.000,0.058
4.4151182200,-0.6640520453,3.000,-0.200
5.7330946093,-0.6521396963,3.000,-0.084
0.9726935149,0.8340501113,3.010,-0.125
1.6594293654,-0.5247047424,3.020,-0.160
1.8457927748,-0.4159693974,3.020,-0.077
3.1857701420,-0.3947893995,3.020,1.326
1.3175878916,0.7648610190,3.030,0.537
3.3435305922,-1.1887109248,3.040,-0.178
3.8051588582,0.6686051375,3.040,0.191
5.1082355472,0.4879884922,3.050,1.088
5.3276665980,-0.2579835241,3.050,0.790
1.7624862964,0.4386208606,3.060,1.377
2.7154237004,0.7243031976,3.060,1.603
5.0289633474,1.1809166705,3.070,0.990
4.7893037272,-0.6416124578,3.100,1.582
2.3360960501,0.1037696555,3.110,0.978
2.8345227794,-0.2826324803,3.110,1.232
3.0359208545,-1.0999037274,3.110,-0.044
5.3999045901,-0.8253924132,3.110,0.998
1.5313508146,-0.6242747530,3.120,1.146
2.3527461102,0.8384880495,3.120,0.223
4.4445696603,-0.9772123050,3.120,1.552
4.5161784662,0.4335258950,3.120,0.080
3.9233320666,-0.7348568098,3.130,-0.208
2.4480663506,0.6002634410,3.140,1.550
2.4924272339,-0.9954376611,3.160,1.538
4.5162458418,0.6424410675,3.160,1.437
1.7355605988,-0.7539112643,3.170,-0.103
2.4995858496,0.9019390372,3.170,0.475
4.4889295933,1.1469375884,3.170,-0.120
4.9116025138,-0.4710779479,3.170,-0.107
1.3374230331,0.7196773430,3.180,-0.148
3.8506743020,-1.1340300965,3.180,0.256
1.2646661967,0.1214971799,3.190,0.484
1.3328252865,-0.3904481742,3.190,1.460
4.4404157453,0.1636251875,3.190,1.160
4.6681358435,-0.6465276120,3.190,1.192
5.5542329424,0.5275592013,3.210,0.990
6.1930792977,1.3549388191,3.210,1.031
4.0202441343,-0.7094330192,3.220,-0.227
4.2687327391,-0.0818997608,3.230,0.966
4.8053714734,-0.0505940424,3.230,0.941
